"2-001 Classroom","Students Attending Lectures"
"2-003 Classroom","Students Attending Lectures"
"2-010 ENV Undergrad Teaching Lab"
"2-010A EnvE UG Course Storage"
"2-026A ENV Lab Storage"
"2-016 Classroom"
"2-020 Classroom"
"2-022 Help Desk Office"
"2-026 Teaching Prep Room"
"2-030 ENV Grad Teaching Lab"
"2-038 Civil Club Student Activity Room"
"2-039 Civil Club Office"
"2-042 Storage"
"2-043 Mine Design Computational Lab"
"2-047 Mining Club Office"
"2-048 Petroleum Club Office"
"2-050 Office"
"2-051 Office"
"2-052 Petroleum Undergrad Teaching Lab"
"2-080 Classroom","Students Attending Lectures"
"2-090 Classroom","Students Attending Lectures"
"2-117 Computer Lab","Students Attending Labs"
"2-118 Caterpillar Mining Engineering Design And Project Lab"
"2-120 Printer/Server"
"2-122 Classroom"
"2-125 Computer Lab"
"2-127 Classroom"